Time,Disp,Force,CrackLen,CrackExt,G_I
210.6,15.73969976,77.01563592,69.54213239,32.51492133,0.915115837
210.8,15.75565989,77.19116268,69.54213239,32.51492133,0.91813153
211,15.77468572,77.05953985,69.56728336,32.5400723,0.917386536
211.2,15.79260792,77.08872017,69.59243433,32.56522327,0.918490099
211.4,15.80757597,77.20584181,69.60500982,32.57779876,0.920613892
211.6,15.82326593,77.03027056,69.64273627,32.61552521,0.919002256
211.8,15.84193266,77.07417449,69.68046273,32.65325167,0.92018068
212,15.86082377,77.16193787,69.81879307,32.79158201,0.920749624
212.2,15.87706886,76.97177647,69.84394404,32.81673298,0.919135413
212.4,15.89199042,76.85478828,69.89424598,32.86703492,0.918030192
212.6,15.90928998,77.03022608,69.94454792,32.91733686,0.920555455
212.8,15.9284424,76.81088435,69.95712341,32.92991235,0.918896607
213,15.94586258,76.94250718,69.99484986,32.9676388,0.921049031
213.2,15.96151813,76.89864773,70.04515181,33.01794075,0.920856331
213.4,15.97822734,76.94250718,70.08287826,33.0556672,0.92191728
213.6,15.99748168,76.75239026,70.09545375,33.06824269,0.920604851
213.8,16.0145462,76.72307649,70.12060472,33.09339366,0.920949487
214,16.0289137,76.82547451,70.1331802,33.10596914,0.922863013
214.2,16.04625209,76.6645824,70.2212086,33.19399754,0.920928074
214.4,16.06516658,76.78157058,70.35953894,33.33232788,0.921851807
214.6,16.08254723,76.76698042,70.40984088,33.38262982,0.922104131
214.8,16.09861564,76.86937844,70.47271831,33.44550725,0.923543895
215,16.11484986,76.73771113,70.51044477,33.48323371,0.922464899
215.2,16.13324861,76.6060883,70.62362413,33.59641307,0.920656719
215.4,16.15265386,76.70844185,70.6487751,33.62156404,0.922711574
215.6,16.16856749,76.84010916,70.72422802,33.69701696,0.924352464
215.8,16.18434057,76.75234578,70.72422802,33.69701696,0.924197423
216,16.2017827,76.76693594,70.77452996,33.7473189,0.924800549
216.2,16.22039685,76.67921704,70.77452996,33.7473189,0.924805096
216.4,16.23703406,76.94255166,70.8248319,33.79762084,0.928362314
216.6,16.2519804,76.91328238,70.8248319,33.79762084,0.928863402
216.8,16.27012006,76.88401309,70.88770933,33.86049827,0.928833096
217,16.2875775,76.73771113,70.90028481,33.87307375,0.927917959
217.2,16.30389165,77.00100127,70.92543578,33.89822472,0.931748397
217.4,16.31875232,77.04490521,70.96316224,33.93595118,0.932700244
