15FM,,18FM,,13FM,,20FM,,12FF,,22FM,,14FF,,19FM,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.7145939324127277,714.2858448866157,1.625678226805443,766.7905416215278,2.307017904730561,753.5199228409876,1.7663380094986034,846.5111601735165,1.7911312845969949,812.6233607138124,1.2615132857031846,714.0938615617387,1.3980591400061253,666.6940928559349,1.6521719256384584,785.4458355617114
1.7581284368443426,726.1686984901885,1.7113759262052666,748.1827864094091,2.35298419794395,773.8783831347221,1.8999401194867644,841.4830254743589,1.84788521225585,832.9863920390916,1.3348691999323488,714.1249445762426,1.4801548665487338,670.1187096892157,1.708761296161705,800.7240513966788
1.8101284916967213,732.9703934286852,1.7630468667864276,744.8148503672825,2.385950477444245,792.5364196938324,2.003007738756405,826.2724609062528,1.8959541799797957,851.6508280423645,1.3995950066051406,714.1523707655107,1.5235796662232768,678.6116862992473,1.7869807879544175,817.7063477915062
1.8578134927709136,739.770259954564,1.8148823645031973,746.5317298154675,2.435957562543139,804.4220159163319,2.08002047822132,805.9661103721278,1.9569683090383005,870.3207492834908,1.4858960821688632,714.1889390178683,1.5800044796109138,688.805086643903,1.8479949170129224,836.3762690326328
1.9229232660934592,751.6622556212261,1.8798275806901343,753.3389099918179,2.477334540085661,816.3039553135957,2.156978365307699,783.9648213412322,2.026777102788786,894.0791428401649,1.584977761931535,709.1461770177677,1.6277443330636427,697.2998916665525,1.9350639258761522,860.1419762397782
1.9879781870374686,761.8593127911178,1.9492524077908664,765.2327340710979,2.5556088842569102,834.9811902051938,2.2164566277671884,755.1764646727829,2.117941755916058,911.0669244728458,1.684223998829816,709.1882305079789,1.6755938912734436,709.1845736827431,2.0395028546092,887.3048740909362
2.053033107981478,772.0563699610093,2.061553510780778,768.6701497927038,2.6332249998857242,833.3191631355448,2.288715494425627,721.3087777518754,2.2048462076436786,929.7478161896797,1.7746755710361155,704.1418116826426,1.7273745366116775,709.2065146341577,2.113736406894944,914.4549730537692
2.1161224853612715,788.1847976632888,2.1478545863445,768.7067180450613,2.697841101801443,829.956712331272,2.34813890450658,690.8254825866554,2.291531249857155,941.648953919431,1.8955519292038634,705.8879457327137,1.7788260676786933,699.0588246049488,2.153175267062518,933.1157522318063
2.17473225182727,799.2265814626387,2.238525568064945,770.4400532068073,2.7580872975604405,824.8974946176104,2.4031375560522745,656.9504820152764,2.3522711170229784,951.8441826767048,1.9861132061672357,704.2314039009185,1.804113014183911,680.4254716161798,2.201189382407928,950.0852497383086
2.2403356965566417,826.3730236002359,2.3164707979649766,778.9476571177819,2.831498064168141,826.623516128885,2.466985724668486,629.8588922562157,2.4256818836306793,953.5702041879792,2.0896196444651665,702.5803473069768,1.8248654973967975,655.0105362277106,2.2703399476159785,953.5043813337356
