Time,Disp,Force,CrackLen,CrackExt,G_I
24.5,0.609929448,14.33532308,41.52706812,0,0.011330522
24.6,0.614960836,14.73019157,41.52706812,0,0.011738664
24.7,0.629409384,14.75950534,41.52706812,0,0.012038374
24.8,0.633585164,14.9642569,41.52706812,0,0.012286353
24.9,0.641815289,15.19832224,41.52706812,0,0.012640625
25,0.65387707,15.35916987,41.52706812,0,0.013014476
25.1,0.657359476,15.54937576,41.52706812,0,0.013245816
25.2,0.670609838,15.87116,41.52706812,0,0.01379245
25.3,0.677936814,16.04673124,41.52706812,0,0.014097387
25.4,0.683258293,16.23689264,41.52706812,0,0.014376417
25.5,0.697466644,16.3831946,41.52706812,0,0.014807606
25.6,0.702086262,16.64648474,41.52706812,0,0.015145229
25.7,0.711447942,16.98290362,41.52706812,0,0.015657337
25.8,0.722470137,17.070667,41.52706812,0,0.015982077
25.9,0.72669179,17.40708588,41.52706812,0,0.016392272
26,0.740358646,17.62651657,41.52706812,0,0.016911085
26.1,0.746969927,17.86058191,41.52706812,0,0.017288669
26.2,0.753000696,17.93371065,41.52706812,0,0.01749961
26.3,0.765134817,18.07996812,41.52706812,0,0.017926622
26.4,0.769901044,18.27012952,41.52706812,0,0.018228015
26.5,0.777082492,18.59191376,41.52706812,0,0.018722078
26.6,0.789429957,18.7382602,41.52706812,0,0.019169276
26.7,0.793423002,18.7382602,41.52706812,0,0.019266236
26.8,0.801622579,19.10394836,41.52706812,0,0.01984522
26.9,0.813192194,19.30874441,41.52706812,0,0.020347454
27,0.816848316,19.38187315,41.52706812,0,0.020516345
27.1,0.829358104,19.73292667,41.52706812,0,0.021207839
27.2,0.836959549,20.0254861,41.52706812,0,0.021719527
27.3,0.841072923,20.11329396,41.52706812,0,0.021921975
27.4,0.855538606,20.31809001,41.52706812,0,0.022526064
27.5,0.860450554,20.33272466,41.52706812,0,0.022671713
27.6,0.868630841,20.69832386,41.52706812,0,0.023298784
27.7,0.880841698,20.90316439,41.52706812,0,0.023860126
27.8,0.884947463,21.0348317,41.52706812,0,0.024122336
27.9,0.897620657,21.2834872,41.52706812,0,0.024757025
28,0.905281202,21.4444238,41.52706812,0,0.025157108
28.1,0.909442208,21.54673286,41.52706812,0,0.025393313
28.2,0.923160607,21.75152891,41.52706812,0,0.026021354
28.3,0.928700701,22.01486353,41.52706812,0,0.026494431
28.4,0.935368243,22.20506942,41.52706812,0,0.026915199
28.5,0.948442921,22.30746744,41.52706812,0,0.027417276
28.6,0.952693275,22.61466152,41.52706812,0,0.027919396
28.7,0.962743316,22.84863789,41.52706812,0,0.028505828
28.8,0.973230838,23.11201699,41.52706812,0,0.029148522
28.9,0.978237981,23.24363982,41.52706812,0,0.029465342
29,0.992294513,23.46302603,41.52706812,0,0.030170843
29.1,0.997034426,23.56542406,41.52706812,0,0.030447262
29.2,1.003821967,23.77022011,41.52706812,0,0.030920943
29.3,1.016678906,23.85798349,41.52706812,0,0.031432605
29.4,1.021017801,24.36992913,41.52706812,0,0.032244111
29.5,1.032922481,24.41387754,41.52706812,0,0.032678892
29.6,1.041146198,24.48700628,41.52706812,0,0.033037733
29.7,1.04601035,24.79415587,41.52706812,0,0.033608423
29.8,1.059646195,25.11602907,41.52706812,0,0.034488531
29.9,1.064790112,25.14520939,41.52706812,0,0.034696215
30,1.071429752,25.46703811,41.52706812,0,0.035359407
30.1,1.084042717,25.62797471,41.52706812,0,0.036001742
30.2,1.088194756,25.75959754,41.52706812,0,0.036325243
